Latitude,Longitude,Altitude,Date,id
49.27988055555556,-122.93076388888889,313.6949128524869,12/07/2020,0
49.28035833333333,-122.92795555555556,327.47332768839965,12/07/2020,1
49.28035,-122.92791666666668,326.97668460158854,12/07/2020,2
49.27999444444444,-122.92562777777778,310.81262199089133,12/07/2020,3
49.28001111111111,-122.92536944444446,307.9569397993311,12/07/2020,4
49.27824722222222,-122.91204722222223,71.0899962811454,12/07/2020,5
49.27823611111111,-122.91243611111112,71.0899962811454,12/07/2020,6
49.27871388888889,-122.91156666666667,326.6090395480226,12/07/2020,7
49.278825,-122.91220833333334,355.5127041742287,12/07/2020,8
49.25595,-122.90803611111112,314.9081419624217,12/07/2020,9
49.252658333333336,-122.91425277777779,35.317093658126836,12/07/2020,10
49.252919444444444,-122.91607777777779,37.56859429602074,12/07/2020,11
49.25331111111111,-122.91858611111111,42.279932388017656,12/07/2020,12
49.25360555555555,-122.9189138888889,45.82167542162013,12/07/2020,13
49.25360833333333,-122.91844166666667,43.62214920757634,12/07/2020,14
49.248447222222225,-122.89714722222223,46.03783263866624,12/07/2020,15
49.24848055555556,-122.8972388888889,46.049611879851504,12/07/2020,16
49.249175,-122.89694166666668,49.8398401475561,12/07/2020,17
49.249425,-122.89692777777779,52.186024096385545,12/07/2020,18
49.24984722222222,-122.89698055555556,52.84456071506431,12/07/2020,19
49.249877777777776,-122.89696388888889,53.331331760669094,12/07/2020,20
49.249825,-122.8967138888889,53.11273981461522,12/07/2020,21
49.24981388888889,-122.89628611111112,53.700496320383365,12/07/2020,22
49.24992777777778,-122.89615,53.386138916015625,12/07/2020,23
49.250769444444444,-122.89611111111111,53.40207672339198,12/07/2020,24
49.25060277777778,-122.89593611111111,54.912811299096674,12/07/2020,25
49.25071666666667,-122.89605,54.92628768182138,12/07/2020,26
49.25091666666667,-122.89609444444446,55.38354239839438,12/07/2020,27
49.251175,-122.89613333333334,107.23843383507248,12/07/2020,28
49.251269444444446,-122.89627777777778,67.39958956317795,12/07/2020,29
49.251266666666666,-122.89615555555557,83.42356115107914,12/07/2020,30
49.25128888888889,-122.89672222222222,103.05083150298086,12/07/2020,31
49.25136944444444,-122.89683611111111,54.08949297495418,12/07/2020,32
49.25206111111111,-122.89779722222222,55.803051809794184,12/07/2020,33
49.25246944444444,-122.89804722222223,58.78581401843061,12/07/2020,34
49.252766666666666,-122.89774444444446,59.31871829381924,12/07/2020,35
